ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509,corr_round,fh_status
Afghanistan,6.0,0.0,,48.14,0.0,0.0,0.0,0.0,0.0,0.0,-1.55,-1.55,Not Free
Algeria,5.5,2.0,35.3,49.89,1.0,0.0,0.0,0.0,0.0,0.0,-0.43,-0.43,Not Free
Angola,5.5,-2.0,58.6,50.82,0.0,0.0,0.0,0.0,0.0,0.0,-1.29,-1.29,Not Free
Azerbaijan,5.5,-7.0,16.8,51.35,0.0,0.0,0.0,0.0,0.0,0.0,-1.03,-1.03,Not Free
Bahrain,5.5,-7.0,,43.77,1.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,Not Free
Belarus,6.5,-7.0,28.8,53.62,0.0,0.0,0.0,0.0,0.0,0.0,-0.77,-0.77,Not Free
Brunei Darussalam,5.5,,,47.82,0.0,0.0,0.0,1.0,0.0,0.0,0.44,0.44,Not Free
Cambodia,5.5,2.0,44.2,51.4,0.0,0.0,0.0,1.0,0.0,0.0,-1.15,-1.15,Not Free
Cameroon,6.0,-4.0,44.6,50.41,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,Not Free
Chad,6.5,-2.0,39.8,50.65,0.0,0.0,0.0,0.0,0.0,1.0,-1.35,-1.35,Not Free
China,6.5,-7.0,41.5,48.46,0.0,0.0,0.0,1.0,0.0,0.0,-0.57,-0.57,Not Free
"Congo, Dem. Rep.",6.0,5.0,44.4,51.08,0.0,0.0,0.0,0.0,0.0,1.0,-1.43,-1.43,Not Free
"Congo, Rep.",5.5,-4.0,47.3,50.31,0.0,0.0,0.0,0.0,0.0,1.0,-1.11,-1.11,Not Free
Cote d'Ivoire,5.5,0.0,48.4,48.39,0.0,0.0,0.0,0.0,0.0,1.0,-1.2,-1.2,Not Free
Cuba,6.5,-7.0,,49.52,0.0,1.0,0.0,0.0,0.0,0.0,0.13,0.13,Not Free
"Egypt, Arab Rep.",5.5,-3.0,32.1,49.79,1.0,0.0,0.0,0.0,0.0,0.0,-0.58,-0.58,Not Free
Equatorial Guinea,7.0,-5.0,,50.88,0.0,0.0,0.0,0.0,0.0,1.0,-1.61,-1.61,Not Free
Eritrea,7.0,-7.0,,50.74,0.0,0.0,0.0,0.0,0.0,1.0,-0.25,-0.25,Not Free
Gabon,5.5,3.0,41.5,50.7,0.0,0.0,0.0,0.0,0.0,1.0,-0.86,-0.86,Not Free
Guinea,6.5,-1.0,43.3,49.77,0.0,0.0,0.0,0.0,0.0,1.0,-1.17,-1.17,Not Free
"Iran, Islamic Rep.",6.0,-7.0,38.3,48.94,1.0,0.0,0.0,0.0,0.0,0.0,-0.6,-0.6,Not Free
Iraq,5.5,0.0,38.3,49.36,1.0,0.0,0.0,0.0,0.0,0.0,-1.46,-1.46,Not Free
Jordan,5.5,-3.0,37.7,48.27,1.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,Not Free
Kazakhstan,5.5,-6.0,30.9,51.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.94,-0.94,Not Free
"Korea, Dem. Rep.",7.0,-9.0,,51.38,0.0,0.0,0.0,1.0,0.0,0.0,-1.56,-1.56,Not Free
Kyrgyz Republic,5.5,1.0,33.5,51.42,0.0,0.0,0.0,0.0,0.0,0.0,-1.17,-1.17,Not Free
Lao PDR,6.5,-7.0,32.6,50.3,0.0,0.0,0.0,1.0,0.0,0.0,-1.21,-1.21,Not Free
Libya,7.0,-7.0,,47.55,1.0,0.0,0.0,0.0,0.0,0.0,-0.9,-0.9,Not Free
Mauritania,5.5,-2.0,39.0,49.77,0.0,0.0,0.0,0.0,0.0,1.0,-0.54,-0.54,Not Free
Myanmar,7.0,-6.0,,50.64,0.0,0.0,0.0,1.0,0.0,0.0,-1.69,-1.69,Not Free
Oman,5.5,-8.0,,46.3,1.0,0.0,0.0,0.0,0.0,0.0,0.47,0.47,Not Free
Qatar,5.5,-10.0,41.1,34.03,1.0,0.0,0.0,0.0,0.0,0.0,1.15,1.15,Not Free
Russian Federation,5.5,4.0,43.7,53.9,0.0,0.0,0.0,0.0,0.0,0.0,-0.92,-0.92,Not Free
Rwanda,5.5,-3.0,46.7,51.4,0.0,0.0,0.0,0.0,0.0,1.0,-0.16,-0.16,Not Free
Saudi Arabia,6.5,-10.0,,46.15,1.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.03,Not Free
Somalia,7.0,0.0,,50.54,0.0,0.0,0.0,0.0,0.0,1.0,-1.81,-1.81,Not Free
Sudan,7.0,-4.0,,49.84,0.0,0.0,0.0,0.0,0.0,1.0,-1.32,-1.32,Not Free
Swaziland,6.0,-9.0,50.7,52.21,0.0,0.0,0.0,0.0,0.0,1.0,-0.31,-0.31,Not Free
Syrian Arab Republic,6.5,-7.0,,49.45,1.0,0.0,0.0,0.0,0.0,0.0,-0.93,-0.93,Not Free
Tajikistan,5.5,-3.0,33.6,50.48,0.0,0.0,0.0,0.0,0.0,0.0,-1.01,-1.01,Not Free
Tunisia,6.0,-4.0,40.8,49.52,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,Not Free
Turkmenistan,7.0,-9.0,40.8,50.75,0.0,0.0,0.0,0.0,0.0,0.0,-1.44,-1.44,Not Free
United Arab Emirates,5.5,-8.0,,35.13,1.0,0.0,0.0,0.0,0.0,0.0,1.02,1.02,Not Free
Uzbekistan,7.0,-9.0,36.7,50.78,0.0,0.0,0.0,0.0,0.0,0.0,-1.07,-1.07,Not Free
Vietnam,6.0,-7.0,37.8,50.86,0.0,0.0,0.0,1.0,0.0,0.0,-0.66,-0.66,Not Free
"Yemen, Rep.",5.5,-2.0,37.7,49.69,1.0,0.0,0.0,0.0,0.0,0.0,-0.81,-0.81,Not Free
Zimbabwe,6.0,1.0,50.1,50.52,0.0,0.0,0.0,0.0,0.0,1.0,-1.38,-1.38,Not Free
Median of 19 MENA countries,5.5,-6.0,38.3,49.36,,,,,,,-0.03,-0.03,Not Free
